k_folds,num_trees,mean,stdev
5,1,0.9947368421052631,0.011768778828946249
5,5,0.9947368421052631,0.011768778828946249
5,10,1.0,0.0
5,25,0.9947368421052631,0.011768778828946249
5,50,1.0,0.0
5,75,1.0,0.0
5,100,1.0,0.0
10,1,0.9884615384615385,0.036487819155789004
10,5,0.9769230769230769,0.07297563831157797
10,10,0.9884615384615385,0.036487819155789004
10,25,0.9884615384615385,0.036487819155789004
10,50,0.9884615384615385,0.036487819155789004
10,75,0.9884615384615385,0.036487819155789004
10,100,0.9884615384615385,0.036487819155789004
